,time_s,speed_mph,speed_mph_capped,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
205,205,47.5,25.0,11.176,11.176,1408.757152,0.0,5571.443485953734,5571.443485953734,933852.6141702317
206,206,47.5,25.0,11.176,11.176,1419.9331519999998,0.0,5571.443485953734,5571.443485953734,939424.0576561855
207,207,47.3,25.0,11.176,11.176,1431.1091519999998,0.0,5571.443485953734,5571.443485953734,944995.5011421392
208,208,47.2,25.0,11.176,11.176,1442.2851519999997,0.0,5571.443485953734,5571.443485953734,950566.9446280929
209,209,47.0,25.0,11.176,11.176,1453.4611519999996,0.0,5571.443485953734,5571.443485953734,956138.3881140467
210,210,47.0,25.0,11.176,11.176,1464.6371519999996,0.0,5571.443485953734,5571.443485953734,961709.8316000004
211,211,47.0,25.0,11.176,11.176,1475.8131519999995,0.0,5571.443485953734,5571.443485953734,967281.2750859541
212,212,47.0,25.0,11.176,11.176,1486.9891519999994,0.0,5571.443485953734,5571.443485953734,972852.7185719078
213,213,47.0,25.0,11.176,11.176,1498.1651519999994,0.0,5571.443485953734,5571.443485953734,978424.1620578616
214,214,47.2,25.0,11.176,11.176,1509.3411519999993,0.0,5571.443485953734,5571.443485953734,983995.6055438153
215,215,47.4,25.0,11.176,11.176,1520.5171519999992,0.0,5571.443485953734,5571.443485953734,989567.049029769
216,216,47.9,25.0,11.176,11.176,1531.6931519999991,0.0,5571.443485953734,5571.443485953734,995138.4925157228
217,217,48.5,25.0,11.176,11.176,1542.869151999999,0.0,5571.443485953734,5571.443485953734,1000709.9360016765
218,218,49.1,25.0,11.176,11.176,1554.045151999999,0.0,5571.443485953734,5571.443485953734,1006281.3794876302
219,219,49.5,25.0,11.176,11.176,1565.221151999999,0.0,5571.443485953734,5571.443485953734,1011852.8229735839
220,220,50.0,25.0,11.176,11.176,1576.3971519999989,0.0,5571.443485953734,5571.443485953734,1017424.2664595377
221,221,50.6,25.0,11.176,11.176,1587.5731519999988,0.0,5571.443485953734,5571.443485953734,1022995.7099454914
222,222,51.0,25.0,11.176,11.176,1598.7491519999987,0.0,5571.443485953734,5571.443485953734,1028567.1534314451
223,223,51.5,25.0,11.176,11.176,1609.9251519999987,0.0,5571.443485953734,5571.443485953734,1034138.5969173989
224,224,52.2,25.0,11.176,11.176,1621.1011519999986,0.0,5571.443485953734,5571.443485953734,1039710.0404033526
225,225,53.2,25.0,11.176,11.176,1632.2771519999985,0.0,5571.443485953734,5571.443485953734,1045281.4838893063
226,226,54.1,25.0,11.176,11.176,1643.4531519999985,0.0,5571.443485953734,5571.443485953734,1050852.92737526
227,227,54.6,25.0,11.176,11.176,1654.6291519999984,0.0,5571.443485953734,5571.443485953734,1056424.370861214
228,228,54.9,25.0,11.176,11.176,1665.8051519999983,0.0,5571.443485953734,5571.443485953734,1061995.8143471677
229,229,55.0,25.0,11.176,11.176,1676.9811519999982,0.0,5571.443485953734,5571.443485953734,1067567.2578331216
230,230,54.9,25.0,11.176,11.176,1688.1571519999982,0.0,5571.443485953734,5571.443485953734,1073138.7013190754
231,231,54.6,25.0,11.176,11.176,1699.333151999998,0.0,5571.443485953734,5571.443485953734,1078710.1448050293
232,232,54.6,25.0,11.176,11.176,1710.509151999998,0.0,5571.443485953734,5571.443485953734,1084281.588290983
233,233,54.8,25.0,11.176,11.176,1721.685151999998,0.0,5571.443485953734,5571.443485953734,1089853.031776937
234,234,55.1,25.0,11.176,11.176,1732.861151999998,0.0,5571.443485953734,5571.443485953734,1095424.4752628908
235,235,55.5,25.0,11.176,11.176,1744.0371519999978,0.0,5571.443485953734,5571.443485953734,1100995.9187488446
236,236,55.7,25.0,11.176,11.176,1755.2131519999978,0.0,5571.443485953734,5571.443485953734,1106567.3622347985
237,237,56.1,25.0,11.176,11.176,1766.3891519999977,0.0,5571.443485953734,5571.443485953734,1112138.8057207523
238,238,56.3,25.0,11.176,11.176,1777.5651519999976,0.0,5571.443485953734,5571.443485953734,1117710.2492067062
239,239,56.6,25.0,11.176,11.176,1788.7411519999976,0.0,5571.443485953734,5571.443485953734,1123281.69269266
240,240,56.7,25.0,11.176,11.176,1799.9171519999975,0.0,5571.443485953734,5571.443485953734,1128853.1361786139
241,241,56.7,25.0,11.176,11.176,1811.0931519999974,0.0,5571.443485953734,5571.443485953734,1134424.5796645677
242,242,56.5,25.0,11.176,11.176,1822.2691519999973,0.0,5571.443485953734,5571.443485953734,1139996.0231505216
243,243,56.5,25.0,11.176,11.176,1833.4451519999973,0.0,5571.443485953734,5571.443485953734,1145567.4666364754
244,244,56.5,25.0,11.176,11.176,1844.6211519999972,0.0,5571.443485953734,5571.443485953734,1151138.9101224293
245,245,56.5,25.0,11.176,11.176,1855.7971519999971,0.0,5571.443485953734,5571.443485953734,1156710.353608383
